[main_menu]|en|fi|pt|ru|zh|ja|ko|de
chat_enable|Enable General Chat|Ota käyttöön Yleinen chat|Habilitar chat geral|Включить общий чат|启用常规聊天|一般チャットを有効にする|일반 채팅 활성화|Aktivieren Sie den allgemeinen Chat
chat_disabled|General chat has been disabled in options|Yleinen chat on poistettu käytöstä asetuksissa|O chat geral foi desativado nas opções|Общий чат отключен в настройках|常规聊天功能在设置中被禁用|オプションで一般チャットが無効になっています|옵션에서 일반 채팅이 비활성화되었습니다.|Der allgemeine Chat wurde in den Optionen deaktiviert
mute|Mute|Hiljennä|Mutar|Заглушить|静音|ミュート|음소거|Stummschalten
relic_confirmation|Relic Confirmation|Aarteiden vahvistus|Confirmação de Relíquia|Подтверждение при подборе Реликвии|遗物确认|遺物の確認|유물 확인|Reliktbestätigung
monster_level_prompt|High monster level prompt|Vahvista korkean hirviötason alueet|||高等级怪物提示|||
show_dps_meter|Show DPS counter|Näytä DPS-mittari|Mostrar medidor DPS|Показывать измеритель урона|显示DPS表|DPSメーターを表示|DPS 미터 표시|DPS-Meter anzeigen
dps_meter_compress|Compress values|Pakkaa arvot|Comprimir valores|Значения в сокращенном виде|压缩值|値を圧縮する|값 압축|Werte komprimieren
dps_meter_reset_combat|Reset outside combat|Nollaa taistelun ulkopuolella|Reiniciar fora de combate|Сбрасывать измеритель урона вне боя|重设外部战斗|戦闘外でリセット|전투 밖에서 초기화|Außerhalb des Kampfes zurücksetzen
show_boss_cooldowns|Show Boss Cooldowns|Näytä pomojen palautumsaika|Mostrar resfriamentos de chefes|Показывать перезарядку способностей Боссов|显示boss的冷却时间|ボスのクールダウンを表示|보스 쿨 다운 표시|Boss-Abklingzeiten anzeigen
universal|Universal|Yleinen|Universal|Универсальный|普遍的|ユニバーサル|만능인|Universell
enable_gamepad|Enable Gamepad|Käytä peliohjainta|Enable Gamepad|Enable Gamepad|启用游戏手柄|Enable Gamepad|Enable Gamepad|Controller Aktivieren
chat_fade_enable|Enable Chat Fade|Käytä chatin häivytystä|Enable Chat Fade|Enable Chat Fade|启用聊天淡入淡出|Enable Chat Fade|Enable Chat Fade|Chat-Verblassung Aktivieren
chat|Chat|Chat|Chat|Chat|Chat|Chat|Chat|Chat
fancy_lighting|Fancy Lighting|Hieno valaistus|Fancy Lighting|Fancy Lighting|高光影效果|Fancy Lighting|Fancy Lighting|Ausgefallene Beleuchtung
separator_thousand|Thousands Separator|Tuhansien erotin|Thousands Separator|Thousands Separator|千位分隔符|Thousands Separator|Thousands Separator|Thousands Separator
separator_decimal|Decimal Separator|Desimaalien erotin|Decimal Separator|Decimal Separator|十位分隔符|Decimal Separator|Decimal Separator|Decimal Separator
emote_menu|Emote Menu|Hymiövalikko|Emotes|Emotes|表情菜单|Emotes|Emotes|Emotes
cutscene_skip|Skip Cutscene|Ohita kohtaus|Skip Cutscene|Skip Cutscene|跳过过场动画|Skip Cutscene|Skip Cutscene|Skip Cutscene
options_reset_all|Are you sure you want to reset all options?|Oletko varma että haluat palauttaa kaikki oletusasetukset?|Are you sure you want to reset all options?|Are you sure you want to reset all options?|你确定你要重置全部的设置选项?|Are you sure you want to reset all options?|Are you sure you want to reset all options?|Are you sure you want to reset all options?
mana_cost|Mana Cost||||法力消耗|||
guild_tab_open|Guild Menu|Kiltavalikko|||工会菜单|||
merchant|Merchant||||商人|||
[relics]|||||[遗物]|||
relics|Relics|Aarteet|Reliquias|Реликвии|遗物|遺物|유물|Relikte
||||||||
[class]|||||[类别]|||
viking|Viking|Viikinki|Viking|Викинг|维京人|バイキング|바이킹|Wikinger
pyromancer|Pyromancer|Pyromaani|Pyromaníaco|Пиромант|火占师|火の占い師|화염술사|Pyromane
marksman|Marksman|Jousiampuja|Atirador|Стрелок|神射手|マークスマン|사수|Scharfschütze
pirate|Pirate|Merirosvo|Pirata|Пират|海盗|パイレート（海賊）|해적|Piratin
nomad|Nomad|Vaeltaja|Nomade|Кочевник|游牧民|ノーマッド|유목민|Nomade
redneck|Redneck|Punaniska|Lenhador|Деревенщина|乡下人|レッドネック|레드넥|Bauer
necromancer|Necromancer|Manaaja|Necromante|Некромант|死灵法师|ネクロマンサー|강령술사|Nekromant
samurai|Samurai|Samurai|Samurai|Самурай|武士|サムライ|사무라이|Samurai
paladin|Paladin|Temppeliritari|Paladino|Паладин|圣骑士|パラディン|타락한 성기사|Paladin
amazon|Amazon|Amatsoni|Amazonas|Амазонка|亚马逊|アマゾン|아마조네스|Amazone
demon_slayer|Demon Slayer|Pirunmetsästäjä|Matador de demônios|Убийца демонов|恶魔杀手|デーモン・スレイヤー|악마 사냥꾼|Dämonentöter
demonspawn|Demonspawn|Pirulainen|Demonspawn|Демоническое Отродье|恶魔之子|悪魔の子|데몬스폰|Dämonenbrut
stickman_steve|Stickman Steve|Teemu Tikku-Ukko|Stickman Steve|Стикмен Стив|曲棍球手史蒂夫|スティックマンスティーブ|막대인간 스티브|Strichmännchen Steve
shaman|Shaman|Shamaani|Chamán|Шаман|萨满|シャーマン|주술사|Schamane
white_mage|White Mage|Valkoinen velho|Mago Branco|Белый маг|白巫师|ホワイトメイジ|백마도사|Weißer Magier
marauder|Marauder|Ryöväri|Saqueador|Мародер|掠夺者|マローダー|약탈자|Marodeur
plague_doctor|Plague Doctor|Ruttolääkäri|Médico da Peste|Чумной доктор|瘟疫医生|ペスト医師|전염병 의사|Pestdoktor
lancer|Shield Lancer|Kilpiseivästäjä|Lanceiro de Escudo|Копейщик|持盾骑兵|シールド・ランサー|랜서|Schild-Lanzenträger
jotunn|Jötunn|Jötunn|Jötunn|Йотун|约通|ヨトゥン|요툰|Jötunn
illusionist|Illusionist|Taikuri|Ilusionista|Иллюзионист|幻术师|イリュージョニスト|일루셔니스트|Illusionistin
viking_passive|Viking's auto attack boosts ability damage. Five stacks maximum.|Viikingin hyökkäykset nostavat taitojen vahinkoa. Kasautuu maksimissaan 5 kertaa.|As habilidades do Viking aumentam a destruição das Ondas de Choque. Cinco pilhas no máximo.|Атаки Викинга увеличивают урон от Активных Талантов. Максимум пять зарядов.|维京人的每次攻击能够叠加一层提升技能伤害的被动，最多叠加5层|バイキング の スキルで は ショックウェーブ の ダメージ が ブースト さ れます。 5 スタック が 最大です。|바이킹의 능력은 충격파 피해를 증폭시킵니다. 최대 5 스택.|Die Wikingerfähigkeit verstärkt den Druckwellenschaden. Maximal fünf Aufladungen.
pyromancer_passive|Pyromancer's inner fire melts ice around him, staying frozen shorter than others.|Pyromaanin sisäinen tuli sulattaa jään hänen ympäriltään, vähentäen jäädytyksen kestoa.|O fogo interior do Piromante derrete o gelo ao seu redor, permanecendo congelado por menos tempo que os outros.|Внутренний огонь Пироманта растапливает лед вокруг него, и заморозка действует на него меньше, чем на других.|火占师心中的火焰能够融化他周围的坚冰，这让他收到冰冻的时间简短|パイロマンサー の 内なる 炎 は 周り の 氷 を 溶かす ため、 他 の キャラクター と 比べて 凍ら せ られる 時間 が 短く なります。|파이로맨서는 내면의 불꽃이 주변의 얼음을 녹여 다른 클래스보다 얼어 있는 시간이 짧습니다.|Das innere Feuer des Pyromanen schmilzt Eis um ihn herum, wodurch er kürzer als andere gefroren bleibt.
marksman_passive|Surprise is the key element for Marksman. Marksman can throw a decoy to distract enemies for a short time.|Jousiampujan valtti on yllätyselementti. Hän voi heittää houkuttimen harhauttamaan vihollisia hetkellisesti.|A surpresa é o elemento chave para o Atirador. O Atirador pode lançar um chamariz para distrair os inimigos por um curto período de tempo.|Главный козырь Стрелка - элемент неожиданности. Стрелок может бросить приманку, чтоб отвлечь врагов.|出其不意是神射手的关键，神射手可以丢出一个诱饵来短暂的吸引敌人|マークスマン の 主要 要素 は サプライズです。 マークスマン は、 デコイ を 放出 して 短時間 敵 を 惑わす こと が できます。|기습은 마크스맨의 핵심 요소입니다. 마크스맨은 미끼를 던져 짧은 시간 동안 적의 주의를 분산시킬 수 있습니다.|Überraschung ist das Kernelement vom Scharfschützen. Er kann einen Köder werfen, um Feinde für kurze Zeit abzulenken.
pirate_passive|With skill and luck, Pirate has 5% increased chance to find better loot.|Vuosien kokemuksella ja ripauksella onnea, merirosvolla on 5% parempi mahdollisuus löytää parempia esineitä.|Com habilidade e sorte, o Pirata tem 5% a mais de chance de encontrar um saque melhor.|Благодаря профессиональному чутью и фантастическому везению,  на 5% выше шанс найти предмет получше.|凭借着自己的技巧和幸运，海盗比其他角色发现更好的战利品的概率多5%|スキルと 強運 を 併せ持つ パイレーツ は 戦利品 を 見つける 確率 が 5% 上昇 します。|기술과 운을 갖춘 해적은 더 좋은 아이템을 얻을 확률이 5% 높습니다.|Mit Geschick und Glück hat die Piratin eine um 5% erhöhte Chance, bessere Beute zu finden.
nomad_passive|Nomad is able to run faster than others.|Vaeltaja liikkuu muita nopeammin.|O Nômade é capaz de correr mais rápido que os outros.|Кочевник передвигается быстрее, чем другие.|游牧民有更快的移动速度。|ノマド は 他 の キャラクター より も 速く 走る こと が できます。|노마드는 다른 클래스보다 더 빨리 달릴 수 있습니다.|Der Nomade ist in der Lage, schneller zu laufen als andere.
redneck_passive|Every drink is a good drink. Redneck gets better effects from potions.|Juoma kuin juoma, punaniska saa parempia vaikutuksia rohdoista.|Toda bebida é uma boa bebida. O efeito das poções é mais forte no Caipira.|Пьёт всё, что горит. Деревенщина получает больший эффект от зелий.|不是每一瓶饮料都是日本生可乐，乡下人能够获得更强的药剂效果|すべて の ドリンク は よい ドリンクです。 レッド ネック は、 ポーション の 効果 を より よく 受けます。|마실 수 있는 것이라면 뭐든 좋습니다. 레드넥은 포션으로부터 얻는 효과가 더 큽니다.|Jedes Getränk ist ein gutes Getränk. Der Bauer erhält bessere Effekte durch Tränke.
necromancer_passive|Necromancer is able to resurrect fallen comrades 20% faster, also giving them a small HP shield.|Manaaja osaa herättää kuolleet toverit 20% nopeammin, samalla antaen heille pienen elämäkilven.|O Necromante é capaz de ressuscitar companheiros abatidos 20% mais rápido, também dá a eles um pequeno escudo HP.|Некромант поднимает павших товарищей на 20% быстрее, и при этом дарует малый щит Здоровья.|亡灵巫师能使已倒下战友的复活速度加快 20％，同时给他们一个小的生命值盾牌。|ネクロマンサーは、倒れた戦友を20%早く復活させ、少量のHPシールドを与えることができます。|네크로맨서는 쓰러진 동료를 20% 더 빠르게 부활시킬 수 있고, 부활한 동료에게 약간의 HP 방어를 줍니다.|Der Nekromant ist in der Lage, gefallene Kameraden 20% schneller wieder auferstehen zu lassen und ihnen einen kleinen HP-Schild zu geben.
