[npc]|en|fi|pt|ru|zh|ja|ko|de
tutorial_sign_1|You can attack with your [Mouse] or [Keyboard arrow keys]|Voit hyökätä [Hiirellä] tai [Nuolinäppäimillä]|Você pode atacar com seu [Mouse] ou com as [Setas do teclado]|Вы можете атаковать с помощью [Мыши] или [Клавиш со стрелками на клавиатуре]|您可以使用[鼠标]或[键盘箭头键]进行攻击|[マウス]または[キーボードの矢印キー]で攻撃できます|[마우스] 또는 [키보드 방향키]로 공격 할 수 있습니다.|Du kannst mit deiner [Maus] oder den [Pfeiltasten auf der Tastatur] angreifen
tutorial_sign_1_gamepad|You can attack with your|Voit hyökätä|Você pode atacar com seu|Вы можете атаковать с помощью|您可以使用_进行攻击|_で攻撃できます|_로 공격 할 수 있습니다.|Du kannst mit deiner _ angreifen
tutorial_sign_2_mobile|Set your abilities by tapping the talent tree icon in the top right corner.|Aseta taitosi painamalla taitopuu-ikonia ruudun oikeassa yläkulmassa.|Para escolher suas habilidades, toque a árvore de talentos no canto superior direito.|Настройте свои Способности, нажав на значок Дерева Талантов в правом верхнем углу экрана|点击右上角的技能树图标设置你的能力。|右上 の 角 の タレントツリーアイコン を タップ して アビリティ を セット。|오른쪽 상단 모서리에있는 재능 트리 아이콘을 탭하여 능력을 설정하십시오.|Wähle deine Fähigkeiten aus, indem du das Talentbaum-Icon in der oberen rechten Ecke berührst.
tutorial_sign_2|Set your abilities by pressing|Aseta taitosi painamalla|Para escolher suas habilidades, aperte|Настройте свои Способности, нажав на|按下__设置你的技能|押してアビリティをセット|눌러서 능력을 설정하십시오.|Wähle deine Fähigkeiten durch das Drücken von
tutorial_sign_3_mobile|Open your inventory by tapping the sword icon in the top right corner.|Avaa reppu painamalla miekka-ikonia ruudun oikeassa yläkulmassa.|Toque o ícone da espada no canto superior direito para abrir seu inventário.|Откройте свой инвентарь, нажав на значок в правом верхнем углу.|点击右上角的剑形图标打开你的仓库。|右上の角の剣のアイコンをタップして目録を開く。|오른쪽 상단의 검 아이콘을 눌러 인벤토리를 여십시오.|Öffne dein Inventar, indem du das Schwert-Icon in der oberen rechten Ecke berührst.
tutorial_sign_3|Open your Inventory by pressing|Avaa reppu painamalla|Para abrir seu inventário, aperte|Откройте свой инвентарь, нажав на|按下__打开你的仓库|押して目録を開く|눌러서 인벤토리를 여십시오.|Öffne dein Inventar durch das Drücken von
tutorial_sign_4_mobile|You can jump over the ledge by tapping the right side of the screen.|Voit hypätä kuilun yli napauttamalla ruudun oikeaa puolta.|Toque o lado esquerdo da tela para pular sobre a borda.|Можно перепрыгивать через препятствия по нажатию на правую часть экрана.|你可以通过点击屏幕右侧跳过障碍。|画面 の 右側 を タップ する と 出っ張り を 飛び越え られます。|화면의 오른쪽을 두드려 절벽 위로 뛰어 넘을 수 있습니다.|Du kannst über den Vorsprung springen, indem du die rechte Seite des Bildschirms berührst.
tutorial_sign_4|You can jump over the ledge by pressing|Voit hypätä kuilun yli painamalla|Para pular sobre a borda, aperte|Можно перепрыгивать через препятствия с помощью|你可以按下__跳过障碍|押すと出っ張りを飛び越えられます|눌러서 절벽 위로 뛰어 넘을 수 있습니다.|Um über den Vorsprung zu springen, drücke
tutorial_sign_5|WANTED - Captain Bonesword - Dead or... Dead-er? - Landlord Kukkonen, Mayor of Inoya|ETSINTÄKUULUTUS – Kapteeni Luumiekka – Kuolleena tai... Kuolleempana? - Maanomistaja Kukkonen, Inoyan Pormestari|PROCURADO - Capitão Bonesword - Morto ou... Mortíssimo? - Sehorio Kukkonen, Prefeito de Inoya|РАЗЫСКИВАЕТСЯ - Капитан Боунсод - Мертвым или еще мертвее - Господин Кукконен, мэр города Иноя|通缉 ——布恩·斯沃德上尉 ——死了还是...死透了？ —— 以诺亚市长，兰诺德·库库恩|WANTED - キャプテン・ボーンソード - デッド・オア...もっとデッド？ - 地主クッコネン、イノヤ市長|수배중 -캡틴 본스워드 - 생사불...사? - 임대인 주인 쿠코넨, 이노야 시장|GESUCHT - Kapitän Knochenschwert - Tot oder... Tot-er? - Landherr Kukkonen, Bürgermeister von Inoya
||||||||
angelic_realm_open|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right grants you the highest quality of armor in all of Tarethiel.|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right grants you the highest quality of armor in all of Tarethiel.|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right grants you the highest quality of armor in all of Tarethiel.|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right grants you the highest quality of armor in all of Tarethiel.|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right grants you the highest quality of armor in all of Tarethiel.|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right grants you the highest quality of armor in all of Tarethiel.|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right grants you the highest quality of armor in all of Tarethiel.|Hero, you shall be granted one of Heaven's reward. The gate to the left will grant you the powers no man has seen before. The gate to the right grants you the highest quality of armor in all of Tarethiel.
angelic_realm_choice|Which reward shall you choose, Hero of Tarethiel?|Which reward shall you choose, Hero of Tarethiel?|Which reward shall you choose, Hero of Tarethiel?|Which reward shall you choose, Hero of Tarethiel?|Which reward shall you choose, Hero of Tarethiel?|Which reward shall you choose, Hero of Tarethiel?|Which reward shall you choose, Hero of Tarethiel?|Which reward shall you choose, Hero of Tarethiel?
angelic_realm_left|Weapon Ability|Weapon Ability|Weapon Ability|Weapon Ability|Weapon Ability|Weapon Ability|Weapon Ability|Weapon Ability
angelic_realm_right|Quality Upgrade|Quality Upgrade|Quality Upgrade|Quality Upgrade|Quality Upgrade|Quality Upgrade|Quality Upgrade|Quality Upgrade
angelic_realm_left_chosen|Very well, you shall be granted an Angelic ability.|Very well, you shall be granted an Angelic ability.|Very well, you shall be granted an Angelic ability.|Very well, you shall be granted an Angelic ability.|Very well, you shall be granted an Angelic ability.|Very well, you shall be granted an Angelic ability.|Very well, you shall be granted an Angelic ability.|Very well, you shall be granted an Angelic ability.
angelic_realm_right_chosen|Very well, your armor shall receive the Angelic blessing.|Very well, your armor shall receive the Angelic blessing.|Very well, your armor shall receive the Angelic blessing.|Very well, your armor shall receive the Angelic blessing.|Very well, your armor shall receive the Angelic blessing.|Very well, your armor shall receive the Angelic blessing.|Very well, your armor shall receive the Angelic blessing.|Very well, your armor shall receive the Angelic blessing.
angelic_realm_farewell|Farewell Hero. You and I shall meet again in the future.|Farewell Hero. You and I shall meet again in the future.|Farewell Hero. You and I shall meet again in the future.|Farewell Hero. You and I shall meet again in the future.|Farewell Hero. You and I shall meet again in the future.|Farewell Hero. You and I shall meet again in the future.|Farewell Hero. You and I shall meet again in the future.|Farewell Hero. You and I shall meet again in the future.
||||||||
fortune_teller_1|I can show you the future, if you are willing to look into eternity... |||||||
fortune_teller_2|Let's see... you will find [ITEM], with this item you shall defend Tarethiel for all eternity.|||||||
fortune_teller_3|Your fortune is about to fulfill... |||||||
||||||||
is_anubis_killed|Are you the hero who saved Mos'Arathim?|Are you the hero who saved Mos'Arathim?|Are you the hero who saved Mos'Arathim?|Are you the hero who saved Mos'Arathim?|Are you the hero who saved Mos'Arathim?|Are you the hero who saved Mos'Arathim?|Are you the hero who saved Mos'Arathim?|Are you the hero who saved Mos'Arathim?
||||||||
quest_copper_mine_1|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.|There is an Old Copper Mine nearby which has since been taken over by evil forces. Could you clear it from these abominations? The mine should still be open, but be quick, things might change when the creatures grow stronger.
quest_copper_mine_2|Back so soon?|Back so soon?|Back so soon?|Back so soon?|Back so soon?|Back so soon?|Back so soon?|Back so soon?
quest_krampus_1|A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? |A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? |A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? |A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? |A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? |A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? |A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? |A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? 
quest_krampus_2|So how was Santa?|So how was Santa?|So how was Santa?|So how was Santa?|So how was Santa?|So how was Santa?|So how was Santa?|So how was Santa?
challenge_npc_dialog|You look like you have some real guts. Up for a challenge?|Would you like a challenge?|Would you like a challenge?|Would you like a challenge?|Would you like a challenge?|Would you like a challenge?|Would you like a challenge?|Would you like a challenge?
grind_gem_info|The book contains multiple pages on different gemstones. Which one would you like to see?|||||||
grind_gem_info_1|Gurag's Soul Gem gives its wielder guarding powers.|||||||
grind_gem_info_2|Reaper's Soul Gem gives its wielder chilling powers.|||||||
grind_gem_info_3|Anubis' Soul Gem gives its wielder tailwind powers.|||||||
grind_gem_info_4|Damien's Soul Gem gives its wielder toxic powers.|||||||
grind_gem_info_5|Karp King's Soul Gem gives its wielder electrifying powers.|||||||
grind_gem_info_6|Satan's Soul Gem gives its wielder fiery powers.|||||||
grind_gem_info_7|Mevius' Soul Gem gives its wielder mystical powers.|||||||
grind_gem_info_8|Odin's Soul Gem gives its wielder destructive powers.|||||||
||||||||
||||||||
valhalla_grind_0|What use could this strange key possibly serve..? Time to find out! |||||||
valhalla_grind_0_complete|Whoa! A human! I haven't seen one of your kind for ages. I forged the perfect door with a perfect lock and a perfect key... and mistakenly locked myself in! Great to meet you!|||||||
valhalla_grind_1|Hey! I know what would be fun! Since I've been trapped here for so long I've used all the minerals I could find nearby and I long for a new project. Would you like for me to make you an awesome ring?! I'm a pretty good blacksmith, I even made a hammer and some other tools for Odin's son back in the day. All I need is about [c_yellow] a hundred braggite ores[c_reset]. [c_yellow]Braggite[c_reset] is pretty rare, thought. I think your best bet is to use unneccessary amounts of violence to kill the toughest monsters and see if they have some on them.|||||||
valhalla_grind_1_complete|WHOOOAAAAA! I did not honestly think you could find so much braggite this quickly! This amount of precious minerals is giving me a tingling sensation… Right! So! Awesome Ring! The thing is, we still need some [c_yellow]essence of the gods[c_reset], but that should be easy to come up with. A lot easier than this… precious… mineral… oh boy.|||||||
valhalla_grind_2|This is some nice, thick, juicy, erotic [c_yellow]braggite[c_reset]. Why do you look at me so weird? Right. You humans don't understand a dwarf's love for BS. That's short for blacksmithing. Let's move on! We still need the [c_yellow]essence of the gods[c_reset] for the ring to reach its full potential. Let's see here… around 10 essences should do the trick! Go on, leave me alone with my braggite so I can start extracting the palladium from it. Go get the essence!|||||||
valhalla_grind_2_complete|Well well well. Look who's got the essence of the gods! I don't think you'd even need this ring! But a promise is a promise. Now I'll just have to use the 25 braggites and 5 essences you got me and the ring is ready! Did I say 25 and 5? No no, I meant ummh… 50 braggites and 7 essences. Yeah that sounds about right. No way I was sending you to get excess amounts of stuff for me to enjoy all by myself… hehe.|||||||
valhalla_grind_3|Uhmm... A small problem. The ring is missing something. A third, final component to unlock its true potential. The base of the ring is super sexy… but we want more. The whole package! I think I know what the ring is missing. The stone! And like with all gemstones, size matters. And quality too, I guess. Let me think…A-ha! Yes. Yes. Here! [c_aqua]Look at this scroll![c_reset] Get me a [c_yellow]gemstone[c_reset] and we will talk again!|||||||
valhalla_grind_3_complete|You did it! This is beautiful… so, so pretty. You have done an exceedingly awesome job collecting these awesome parts for the awesome ring. It's all just awesome. If anyone deserves this ring, it's you. Take it. Take it, take it, take it! Mörski, my loyal cave dog, we're back in the BS game!|||||||
orre_npc_name|Örre|||||||
valhalla_grind_inprogress_0|Hi duuude!|||||||
valhalla_grind_inprogress_1|My loyal dog [c_red]Mörski[c_reset] has been a bit quiet lately. I guess its the cave depressing him. Say hello to the nice Hero, [c_red]Mörski![c_white]|||||||
valhalla_grind_inprogress_2|The [c_yellow]essence of the gods[c_reset] is very rare, but I trust your ability to get it without aaaaany problems.|||||||
valhalla_grind_inprogress_3|Well, did you get a good look at the scroll yet?|||||||
valhalla_grind_inprogress_4|I wonder what happened to my half brother Hurrdurr. Maybe I should go look for him.|||||||
||||||||
grind_0|What's this strange glowing fragment? It could be valuable.|||||||
grind_0_complete|GREETINGS HERO! My name is Örre. Have we met before? I think I would remember. I have a very good memory with faces. Yours is a little pixelated thought, so I can't say for sure. Wait a minute... What's that glowing rainbow thingy you're holding?|||||||
grind_1|This glowing rainbow fragment seems to hold immense magical powers. It's not from this world, that's for sure. With enough of this material I could extract some of its magical powers into a powerful [c_aqua]signet[c_reset] of some sort. So what are you waiting for? Go get more of this stuff!|||||||
grind_1_complete|I've come to a conclusion that these [c_yellow]rainbow fragments[c_reset] are actually parts of the [c_aqua]Bifröst[c_reset]! Now that is wild. All this magical stuff is giving me a tingling sensation... uhm. Right! So, the signet! I've got some excess [c_yellow]braggite[c_reset] which I can use to make the signet, but the magical stuff from these [c_yellow]rainbow fragments[c_reset] need to be paired with [c_aqua]Essence of the Gods[c_reset] to unleash it's true potential.|||||||
grind_2|These are some nice, thick, juicy, erotic [c_yellow]rainbow fragments[c_reset]. Why do you look at me so weird? Right. You humans don't understand a dwarf's love for BS. That's short for blacksmithing. You will understand once you see what I can craft with this stuff. We still need the [c_yellow]essence of the gods[c_reset] for the signet to reach its full potential. Let's see here… around 15 essences should do the trick! Go on, leave me alone now. Go get the essence!|||||||
grind_2_complete|Well well well. Look who's got the essence of the gods! I don't think you'd even need this signet! But a promise is a promise.|||||||
grind_3|Uhmm... A small problem. The signet is missing something. A third, final component to unlock its true potential. The base of the ring is super sexy… but we want more. The whole package! I think I know what the ring is missing. The stone! And like with all gemstones, size matters. And quality too, I guess. Let me think…A-ha! Yes. Yes. Here! [c_aqua]Look at this scroll![c_reset] Get me a [c_yellow]gemstone[c_reset] and we will talk again!|||||||
grind_3_complete|You did it! This is beautiful… so, so pretty. You have done an exceedingly awesome job collecting these awesome parts for the awesome signet. It's all just awesome. If anyone deserves this, it's you. Take it. Take it, take it, take it! Mörski, my loyal cave dog, we're back in the BS game! Again!|||||||
morski_alive_dialog|Vuh! I can assure that I am quite alive and definitely not a dead pile of bones. Vuh!|||||||
grind_inprogress_0|Hi duuude!|||||||
grind_inprogress_1|My loyal dog [c_red]Mörski[c_reset] has been a bit quiet lately. I guess its the cave depressing him. Say hello to the nice Hero, [c_red]Mörski![c_white]|||||||
grind_inprogress_2|The [c_yellow]essence of the gods[c_reset] is very rare, but I trust your ability to get it without aaaaany problems.|||||||
grind_inprogress_3|Well, did you get a good look at the scroll yet?|||||||
grind_inprogress_4|I wonder what happened to my half brother Hurrdurr. Maybe I should go look for him.|||||||
||||||||
||||||||
[valhalla raven statues]||||||||
valhalla_lore_valkyrie|[c_yellow]Valkyries[c_reset] are the ones who guide the souls of fallen Heroes into one of two realms. Half of those who die in battle are taken to Freyas afterlife, [c_lime]Fólkvangr[c_reset]. The other half go to Gods hall called [c_lime]Valhalla[c_reset]. |||||||
valhalla_lore_huginn|[c_aqua]Huginn[c_reset], ''Thought'', is the brother of [c_red]Muninn[c_reset]. As one of the Odin's ravens he travels the around the world, reporting back to Odin.|||||||
valhalla_lore_muninn|[c_aqua]Muninn[c_reset], ''Memory'', is the brother of [c_red]Huginn[c_reset]. As one of the Odin's ravens he travels the around the world, reporting back to Odin.|||||||
valhalla_lore_trolls|[c_aqua]Trolls[c_reset] are creatures of the forest, who live under the rocks and caves. They are known for being quite dumb and very hostile against humans.|||||||
valhalla_lore_naga|[c_aqua]Naga[c_reset] are human-snake hybrids which prefer to live near or in water. They usually live in hiding at the eastern kingdoms and it is not yet known how they traveled to and infested [c_lime]Valhalla[c_reset]. All the heroes are adviced to kill them on sight.|||||||
valhalla_lore_surtur|Warning: [c_red]Surtur[c_reset] has been imprisoned in this here cave. DO NOT APPROACH!|||||||
||||||||
ahriman_npc_name|Ahriman|||||||
ahriman_npc_title|Crow Keeper|||||||
ahriman_chain_1|You there! You look like a tough adventurer ready to slay some monsters! I am Ahriman, the keeper of Crows. I have a problem, there is a large rat bastard I've named [c_red]Fragrat[c_reset] who murdered and ate one of my belowed crows. I want you to find and kill Fragrat! I'll pay you handsomely. Last time I saw the bastard he took shelter in a Rat Den. Help me out, will you?|||||||
ahriman_chain_1_complete|Thank you, [heroname]. Here is your handsome reward! I also have another task for you, should you be interested…|||||||
ahriman_chain_2|My birds are hungry! After the incident with Fragrat, they deserve a proper feast! Collect me some maggots and [c_red]crimson pumpkins[c_reset] and make some nice maggot stew to feed them. Should you accept, I'll meet you at my house in [c_yellow]The Dark Woods[c_reset]!|||||||
ahriman_chain_2_complete|This is delicious. With this stew my crows will be re-energized and ready to work! There is still one thing I require from you.|||||||
ahriman_chain_3|I used to have a spellbook called ''Murder of Crows'' which allowed me to have full control of my flock. It was stolen by one of Gurag's minions a long time ago. If you can find it and bring it back to me I shall be the most powerful Crow Keeper Tarethiel has ever seen! I am quite confident that the book is hidden somewhere in the Gurag's dungeons. Find it and bring it to me, and I will forever be in your debt.|||||||
ahriman_chain_3_complete|The [c_aqua]MURDER OF CROWS[c_reset]! Wait… this is not the right spellbook. This is something else entirely. I can't understand anything written here. A fair attempt, hero, but this is not what I wanted. You can keep it, maybe it will be useful to you… I'll see you around.|||||||
||||||||
ahriman_chain_inprogress|Go on, stranger!|||||||
||||||||
anita_npc_name|Anita|||||||
anita_npc_title|Herbalist|||||||
anita_chain_1|Help! My name is Anita, I'm a herbalist from Danethorpe. I was on my regular path collecting herbs, but I got attacked and mauled by a grizzly bear. I don't have long, the wounds are going to take me soon, unless you help me! Bring me some Ginseng and I can heal my wounds! Please, help me…|||||||
anita_chain_1_complete|You did it! Thank you so much. I'll be heading back to Danathorpe to fully recover, but I have another task for you later, if you don't mind helping a lady in distress a little bit more.|||||||
anita_chain_2|Greetings, hero! I am so thankful to you that words can not express it. I still have a huge problem though. I had to abandon the Herbalism pouch while running away from the bear. I think it dropped near the frozen cellar. Can you locate the bag and bring it back to me? It's filled with the most potent and rare herbs I had, I really need it back.|||||||
anita_chain_2_complete|Very well done, hero. This is everything I lost! You know, to express my gratitude I could make you a very powerful armor. The only thing I need to finish it would require revenge on a certain bear…|||||||
anita_chain_3|The bear that almost mauled me to death is a huge Grizzly Bear the locals know as Carnage. I want him dead! If you can track and kill Carnage I get my revenge and you will get your armor. Bring me Carnage's hide!|||||||
anita_chain_3_complete|Carnage is dead! My gathering route just got way less dangerous. Here, hero, I finished your armor. You have definitely earned it. [shake_letter]blows kiss|||||||
||||||||
anita_chain_inprogress|...|||||||
||||||||
jasper_npc_name|Jasper Jackson|||||||
jasper_npc_title|Archeologist|||||||
jasper_chain_1|Hey you! Yeah, I'm talking to you, whatever the hell you are supposed to be. I have a job for you. Go get my trusty whip. I would do it myself, but I don't have my trusty whip. Some orc must have taken it.|||||||
jasper_chain_1_complete|Took you long enough. Here's some gold. Get out of my sight, you are ruining the scenery.|||||||
jasper_chain_2|"I heard about a map. This map would show where the Staff of Anubis is located. GET ME THAT MAP! My intel tells me it's somewhere called ""Cauflax Tomb"" whatever the hell that place is. Go away now."|||||||
jasper_chain_2_complete|What took you so long? Whatever, don't answer. Here is some gold. Let me inspect the map.|||||||
jasper_chain_3|The map shows that the staff is hidden in a remote tomb inside the Treasure Room in Mysterious Pyramid. I would go get it myself, but you are already familiar with the map. Just go. Bring me the staff and I'll pay you more than you can spend. GO!|||||||
jasper_chain_3_complete|I don't give meaningless compliments, but in this case I'll make an exception. Good job. Now take your reward and move it.|||||||
||||||||
jasper_chain_inprogress|Get to work!|||||||
||||||||
ragnar_npc_name|Ragnar|||||||
ragnar_npc_title|Alcoholic|||||||
ragnar_chain_1|[shake_letter]BURP[shake_reset] huh?? Oh hey… [shake_letter]BURP[shake_reset] Help me out, friend. I've got a terrible hangover from all the Belly Beer me and my friend [c_lime]Hurrdurr[c_reset] were drinking last night. [shake_letter]BURP[shake_reset]... If you can get me some Devils Cabbage from the Old Copper Mine it would really pick me up if you catch my drift. [shake_letter]BURP[shake_reset].|||||||
ragnar_chain_1_complete|Ahhh this [shake_letter]BURP[shake_reset] is the good stuff. Already feeling better. Have some Beer Belly, friend. Don't drink too much of it!|||||||
ragnar_chain_2|Like I said, I was out with Hurrdurr last night… and I haven't heard from him since! My memories from last night are a bit foggy, you know. I hope nothing bad has happened to him. Last thing I remember from last night was partying it out with Hurrdurr at the Abandoned Mine. Maybe you could find some clues to his whereabouts over there?|||||||
ragnar_chain_2_complete|Hurrdurr's cart... but where is [c_lime]Hurrdurr[c_reset]?|||||||
ragnar_chain_3|Oh no! Hurrdurr loves that Mining Cart. He basically lives in it. WAIT! I remember something else… Yes! We got into a pretty funky situation last night at the Damien's Realm. Please check it out. I'm so worried about him. Hurrdurr is not all there, you know. Something really bad might have happened.|||||||
ragnar_chain_3_complete|Hurr…durr. Did Ragnar send you to rescue me? I think it's too late my friend. It is allright, Hurrdurr dies to his wounds from a glorious battle and will be taking his place in Valhalla! I just hope I get to take my Mining Cart to the afterlife…|||||||
ragnar_chain_3_complete_wee|To Valhalla! [shake_letter][c_lime]Weeeeeeeeeeeeeeeee!|||||||
ragnar_chain_inprogress|[shake_letter]BURP|||||||
||||||||
aki_npc_name|Aki|||||||
aki_npc_title|Fisherman|||||||
aki_chain_1|Misty morning, traveler. My name is Aki and I could use your help. I caught a HUGE tuna fish with my trysty rod, but the damn monster got away along with my fishing rod! I need you to collect some materials, so I can make a new, sturdier one! Bamboo should work, will you help me out? You are welcome to use my workbench over there|||||||
aki_chain_1_complete|This is a sturdy rod! Very nice. Now I just need a fishing line and a hook!|||||||
aki_chain_2|This fishing rod needs a sturdy line and a hook to match! Underground garden should have some spider webs that I can use to create the line. The hook however is a bit trickier. Look at the bottom of the seabed to see if you can locate anything useful.|||||||
aki_chain_2_complete|Nicely done! With this new fishing rod I'll be heading to the Fuji Coast to have a round two with the damn tuna! Meet me there, will you?|||||||
aki_chain_3|I Sighted the damn tuna over there by the waves! I'm going to throw the bait. Can you help me out if the damn thing puts up a fight?|||||||
aki_chain_3_complete|Thank you for rescuing me! Now all that's left for me to do is to file this tuna. Just like in Okinawa back in '95… The memories…|||||||
||||||||
aki_chain_inprogress|[shake_letter]F I S H|||||||
||||||||
lily_npc_name|Lily|||||||
lily_npc_title|Semen Demon|||||||
lily_chain_1|You are far away from home, lost soul! I am Lily. I want to break free of these depths, but I need your help in doing so. To break my curse, I will need a powerful artifact. The Eternal Chalice is the first part I need. If you help me, I will in return help you to slay the one you are here for.|||||||
lily_chain_1_complete|You found it? Praise be. One third of the artifact is complete! This next one may prove much more difficult, but I'm confident you will prevail, should you keep on helping me.|||||||
lily_chain_2|I need you to head on to the PRISON and collect me some of the lost souls trapped in there. After that, I need you to go to Unmarked Graves and search them. There should be one that holds a seal of great power. After using the seal to bless the Eternal Chalice with the souls, bring it to me. And about the prisoners… don't worry about them, they are where they are for a reason.|||||||
lily_chain_2_complete|Thank you. Now help me with the ritual!|||||||
lily_chain_3|I need your help to channel the power of this artifact and break the curse! Accept my final quest and I shall reward you beyond your wildest beliefs!|||||||
lily_chain_3_complete|So, Lilith fooled you. But it was Lilith, who was foolish enough to think that a simple demonic ritual could make her strong enough to match your might. Praise be! Have a blessed day!|||||||
lily_chain_transform_dialog|[c_red]The deed is done… You fool!|||||||
lily_chain_inprogress|Poor lost soul...|||||||
||||||||
moira_npc_name|Moira|||||||
moira_npc_title|Astrologist|||||||
moira_chain_1|Hello, starchild! I am Moira, an astrologist! I see from your aura that you are a clear Taurus! Oh, you are not? I knew that. Of course you are not a Taurus. Anyway, I can see from your aura that you are a very capable warrior. Can you help me with a slight problem? My telescope is in Deep Space so I can look into the stars and see what secrets they have to tell! But the area is overrun by horrible monsters. If you slay the monsters lurking the area I'll pay you!|||||||
moira_chain_1_complete|Thank you, starchild! That was very brave, are you sure you are not a Taurus? I'll be heading back to my telescope then!|||||||
moira_chain_2|To thank you, I've prepared some Stardust Infused Tea for you! Have a sip and the whole Cosmos opens before your eyes! Don't be afraid, it's only slightly radioactive.|||||||
moira_chain_2_complete|Oh no! I must have put too much Stardust into the tea! I'm so sorry, the stars told me to! You don't have long. There is an antidote for Stardust poisoning! Look for a Nebula Vial in the Distorted Horizons and consume it quickly!|||||||
moira_chain_3|Oh no! I must have put too much Stardust into the tea! I'm so sorry, the stars told me to! You don't have long. There is an antidote for Stardust poisoning! Look for a Nebula Vial in the Distorted Horizons and consume it quickly!|||||||
moira_chain_3_complete_good|I'm so sorry! I can't believe this recipe did not work. Please accept my apologies.|||||||
moira_chain_3_complete_bad|I'm so sorry! I can't believe this recipe did not work. Please accept my apologies.|||||||
moira_chain_4|I am so very sorry about that whole thing with the tea. But the stars told me about another recipe! With this recipe I can make a tea that will [shake_letter]double your strength forever![shake_reset] And don't you worry, Taurus. This time I will try it first to make sure it's not harmful! I just need a couple of ingredients from the Parallel Dimension.|||||||
moira_chain_4_complete|Well done, starchild. I finally got it! You must be a Capricorn! What? Not Capricorn either? I'll get there. This tea will allow me to see your aura more clearly. I'll have a taste test and then you can take the rest to get your [shake_letter]permanently tripled magic find![shake_reset]|||||||
||||||||
[guild master kranosh]||||||||
kranosh_create_guild|Good day to you, [heroname]! My name is Kranosh, I'm keeping tabs of all the [c_yellow]Guilds[c_reset]. For a small amount of coin I can let you register your own guild, if you are interested of course.|||||||
kranosh_guild_owner|What is your business now, [heroname]? Are you not happy with your [c_yellow]Guild[c_reset]?|||||||
kranosh_in_guild|You are already a member of the respectable guild [var,guildName]! What is it?|||||||
||||||||
kranosh_option_create_guild|Create a new guild|||||||
kranosh_option_change_guild_tag|Change Guild Tag|||||||
kranosh_option_delete_guild|Delete Guild|||||||
kranosh_option_bye|My mistake, bye!|||||||
kranosh_option_leave_guild|Leave [var,guildName]|||||||
guild_create_dialog|[heroname]! By signing this paper you are officially founding a new guild!|||||||
